"STATION","NAME","DATE","AWND","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","TSUN","WDF2","WDF5","WESD","WESF","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-11",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-12",,,,,,,"0.04",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-13",,,,,,,"1.00",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-14",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-15",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-19",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-20",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-21",,,,,,,"0.00",,"0.0",,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-22",,,,,,,"0.03",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-23",,,,,,,"0.33",,,,,,,,,,,,,,,,,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2018-01-24",,,,,,,"0.18",,,,,,,,,,,,,,,,,,,,,,,
