Date,Beach,Attendance
2018-06-04,Rockaway Beach,7000
2018-06-26,Wolfe's Pond Beach,120
2019-07-08,Midland Beach,750
2019-08-11,Coney Island Beach,86000
2020-06-05,Manhattan Beach,250
2023-07-11,Orchard Beach,12800
2023-06-04,Wolfe's Pond Beach,8
2024-07-09,Cedar Grove Beach,360
2024-07-19,Coney Island Beach,14500
2017-06-02,Manhattan Beach,750
2020-08-26,Cedar Grove Beach,250
2021-06-29,Wolfe's Pond Beach,3100
2021-07-16,Coney Island Beach,130000
2021-08-05,Orchard Beach,2300
2017-08-23,Cedar Grove Beach,260
2017-09-02,Coney Island Beach,20075
2018-06-09,Midland Beach,4300
2019-07-25,Wolfe's Pond Beach,310
2023-06-21,Coney Island Beach,8500
2023-06-11,Cedar Grove Beach,49
2024-08-08,Orchard Beach,250
2017-08-19,Wolfe's Pond Beach,1600
2019-06-01,South Beach,7500
2019-07-29,Cedar Grove Beach,250
2020-06-17,Coney Island Beach,12000
2022-07-28,Wolfe's Pond Beach,200
2022-09-03,Orchard Beach,13500
2017-09-05,South Beach,525
2018-07-06,Orchard Beach,200
2020-08-22,Wolfe's Pond Beach,1600
2021-06-10,Rockaway Beach,2500
2021-07-03,Cedar Grove Beach,0
2022-07-14,Midland Beach,1000
2023-08-22,Manhattan Beach,625
2018-06-30,Cedar Grove Beach,310
2018-08-26,Rockaway Beach,137500
2018-08-31,Midland Beach,1875
2020-08-18,Manhattan Beach,950
2021-07-19,South Beach,1635
2024-07-05,Wolfe's Pond Beach,574
2024-06-13,Rockaway Beach,20000
2024-06-18,Midland Beach,1200
2019-07-03,Rockaway Beach,21500
2019-08-04,Orchard Beach,70200
2020-06-04,Cedar Grove Beach,95
2020-08-05,Midland Beach,1500
2022-07-24,Manhattan Beach,9000
2017-06-01,Cedar Grove Beach,50
2017-07-28,Rockaway Beach,16000
2017-08-02,Midland Beach,600
2017-08-29,Orchard Beach,2350
2022-08-14,Coney Island Beach,152000
2022-08-17,South Beach,500
2024-06-28,Manhattan Beach,500
2017-06-06,Wolfe's Pond Beach,35
2018-07-22,Coney Island Beach,80500
2020-06-17,South Beach,1275
2020-07-27,Midland Beach,1600
2021-06-25,Manhattan Beach,1000
2023-08-07,Rockaway Beach,2500
2023-08-29,Wolfe's Pond Beach,91
2017-08-12,Manhattan Beach,5500
2018-07-13,South Beach,4250
2020-06-26,Coney Island Beach,30000
2020-07-16,Orchard Beach,3134
2021-09-01,Rockaway Beach,1000
2022-07-02,Midland Beach,1600
2023-05-31,Manhattan Beach,150
2023-06-21,South Beach,325
2017-06-23,Coney Island Beach,5500
2018-08-19,Midland Beach,3400
2019-07-18,Manhattan Beach,150
2022-07-09,Rockaway Beach,33700
2023-08-21,Cedar Grove Beach,137
2024-06-06,Midland Beach,550
2024-05-29,Orchard Beach,1330
2019-05-29,Coney Island Beach,4000
2019-08-11,South Beach,6900
2020-08-03,Rockaway Beach,16200
2021-06-03,Midland Beach,175
2021-08-14,Orchard Beach,46200
2024-07-19,South Beach,1950
2017-06-16,Orchard Beach,150
2018-06-19,Manhattan Beach,1550
2020-06-12,Wolfe's Pond Beach,185
2021-07-28,Coney Island Beach,38500
2022-07-23,Cedar Grove Beach,675
2018-06-16,Rockaway Beach,231500
2018-07-08,Wolfe's Pond Beach,1250
2020-05-24,Manhattan Beach,550
2023-07-23,Orchard Beach,65000
2023-07-03,Coney Island Beach,113000
2023-06-16,Wolfe's Pond Beach,3
2024-06-27,Cedar Grove Beach,250
2024-08-28,Midland Beach,875
2019-08-20,Coney Island Beach,6700
2020-08-14,Cedar Grove Beach,170
2021-07-11,Wolfe's Pond Beach,3500
2021-08-25,Midland Beach,1950
2024-09-04,Rockaway Beach,8800
2017-06-14,South Beach,450
2017-08-11,Cedar Grove Beach,45
2019-08-06,Wolfe's Pond Beach,300
2022-06-04,Coney Island Beach,35025
2023-07-31,Midland Beach,1360
2023-05-30,Cedar Grove Beach,129
2024-07-14,Wolfe's Pond Beach,700
2024-09-07,Manhattan Beach,110
2024-08-20,Orchard Beach,14400
2019-06-13,South Beach,134
2019-07-17,Cedar Grove Beach,110
2019-08-11,Manhattan Beach,5400
2019-09-03,Rockaway Beach,8400
2024-09-02,Wolfe's Pond Beach,2500
2017-07-08,South Beach,31600
2017-09-07,Orchard Beach,350
2021-07-16,Manhattan Beach,2900
2022-06-16,South Beach,475
2022-09-11,Midland Beach,225
2022-09-06,Rockaway Beach,550
2018-06-18,Cedar Grove Beach,125
2018-07-13,Manhattan Beach,1700
2018-08-05,Rockaway Beach,218000
2019-09-08,Midland Beach,5300
2020-07-11,South Beach,6900
2022-08-26,Coney Island Beach,20725
2023-06-21,Manhattan Beach,400
2023-07-14,Rockaway Beach,8000
2018-06-14,Wolfe's Pond Beach,150
2018-08-06,South Beach,3800
2019-08-16,Orchard Beach,1700
2020-05-23,Cedar Grove Beach,5
2020-06-17,Manhattan Beach,600
2021-06-04,Orchard Beach,300
2021-08-08,Rockaway Beach,8200
2021-08-13,Midland Beach,5700
2023-07-15,South Beach,2308
2024-07-31,Coney Island Beach,11700
2017-06-14,Manhattan Beach,650
2017-07-21,Midland Beach,70500
